Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,5,1692692134,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,17,1692692134,OV_FIETS,Yes
Uden,Ow002,6,1692692134,OV_FIETS,Yes
Deventer,dv001,82,1692692134,OV_FIETS,Yes
"Leiden Centraal, Centrumzijde",ledn002,48,1692692134,OV_FIETS,Yes
Helmond Brandevoort,hmbv001,3,1692692134,OV_FIETS,Yes
Den Helder Zuid,hdrz001,0,1692692134,OV_FIETS,Yes
Castricum,cas002,19,1692692134,OV_FIETS,Yes
Sneek,sk001,2,1692692134,OV_FIETS,Yes
Geldrop,Gp001,5,1692692134,OV_FIETS,Yes
Oudenbosch,odb001,1,1692692134,OV_FIETS,Yes
Anna Paulowna,ana001,1,1692692134,OV_FIETS,Yes
Goes,gs003,12,1692692134,OV_FIETS,Yes
Amersfoort Schothorst,amfs001,1,1692692134,OV_FIETS,Yes
Roosendaal,rsd002,29,1692692134,OV_FIETS,Yes
OV-ebike Arnhem Centrum,ah003,0,1692692134,OV_FIETS,Yes
Gilze Rijen,gz001,2,1692692134,OV_FIETS,Yes
Halfweg Zwanenburg,hwzb001,5,1692692134,OV_FIETS,Yes
Hoorn Kersenboogerd,hnk001,0,1692692134,OV_FIETS,Yes
Hoorn,hn001,10,1692692134,OV_FIETS,Yes
Rotterdam Kralingse Zoom,Rta003,0,1692692134,OV_FIETS,Yes
Boskoop,bsk001,3,1692692134,OV_FIETS,Yes
Rijssen,rsn001,2,1692692134,OV_FIETS,Yes
Venlo,vl001,45,1692692134,OV_FIETS,Yes
Ommen,omn001,0,1692692134,OV_FIETS,Yes
Culemborg,cl003,2,1692692134,OV_FIETS,Yes
Groningen Noord,Gnn001,2,1692692134,OV_FIETS,Yes
Eindhoven Strijp-S,ehs001,0,1692692134,OV_FIETS,Yes
Haarlem Spaarnwoude,hlms001,0,1692692134,OV_FIETS,Yes
Voorburg,vb002,12,1692692134,OV_FIETS,Yes
Soest Zuid,stz001,1,1692692134,OV_FIETS,Yes
Haren,HRN002,3,1692692134,OV_FIETS,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,8,1692692134,OV_FIETS,Yes
Maarheeze,mz001,2,1692692134,OV_FIETS,Yes
Maastricht Randwyck,mtr001,2,1692692134,OV_FIETS,Yes
Amsterdam Muiderpoort,asdm001,0,1692692134,OV_FIETS,Yes
Dieren,dr001,1,1692692134,OV_FIETS,Yes
Wolfheze,wf001,4,1692692134,OV_FIETS,Yes
Meerssen,mes001,3,1692692134,OV_FIETS,Yes
Dordrecht,ddr001,9,1692692134,OV_FIETS,Yes
Maassluis,mss001,8,1692692134,OV_FIETS,Yes
Weesp,wp001,10,1692692134,OV_FIETS,Yes
Vierlingsbeek,vlb001,6,1692692134,OV_FIETS,Yes
Amsterdam Sloterdijk,ass001,15,1692692134,OV_FIETS,Yes
Gorinchem,gr001,0,1692692134,OV_FIETS,Yes
Rotterdam Alexander,rta001,0,1692692134,OV_FIETS,Yes
Valkenburg,vk001,4,1692692134,OV_FIETS,Yes
Almelo,aml002,10,1692692134,OV_FIETS,Yes
Bloemendaal,bll001,3,1692692134,OV_FIETS,Yes
Etten-Leur,etn001,0,1692692134,OV_FIETS,Yes
Heiloo,hlo001,2,1692692134,OV_FIETS,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,143,1692692134,OV_FIETS,Yes
Purmerend Overwhere,pmo001,3,1692692134,OV_FIETS,Yes
Lelystad Centrum,lls003,13,1692692134,OV_FIETS,Yes
Utrecht Centraal Jaarbeursplein,ut016,3,1692692134,OV_FIETS,Yes
Zwolle Hanzeland,zl003,16,1692692134,OV_FIETS,Yes
Holten,hon001,5,1692692134,OV_FIETS,Yes
Wijhe,wh001,1,1692692134,OV_FIETS,Yes
Breda Prinsenbeek,bdpb001,2,1692692134,OV_FIETS,Yes
Zwolle,zl004,73,1692692134,OV_FIETS,Yes
Nijmegen,nm001,2,1692692134,OV_FIETS,Yes
Bovenkarspel-Grootebroek,bkg001,1,1692692134,OV_FIETS,Yes
OV-ebike Driebergen-Zeist,db003,0,1692692134,OV_FIETS,Yes
Zeist,db002,19,1692692134,OV_FIETS,Yes
Driebergen-Zeist,db001,47,1692692134,OV_FIETS,Yes
Echt,ec001,0,1692692134,OV_FIETS,Yes
Raalte,rat001,1,1692692134,OV_FIETS,Yes
Dalfsen,dl001,2,1692692134,OV_FIETS,Yes
Rotterdam Slinge,rtd904,0,1692692134,OV_FIETS,Yes
Boxmeer,Bmr001,0,1692692134,OV_FIETS,Yes
Pijnacker,rtd906,2,1692692134,OV_FIETS,Yes
Nunspeet,Ns001,0,1692692134,OV_FIETS,Unknown
Maastricht Noord,mtn001,2,1692692134,OV_FIETS,Yes
Doetinchem de Huet,dtch001,2,1692692134,OV_FIETS,Yes
Utrecht Janskerkhof,ut018,1,1692692134,OV_FIETS,Yes
Delden,ddn001,4,1692692134,OV_FIETS,Yes
Muiden P&R,wp901,4,1692692134,OV_FIETS,Yes
Lage Zwaluwe,Zlw001,3,1692692134,OV_FIETS,Yes
Hengelo Gezondheidspark,hglg001,5,1692692134,OV_FIETS,Yes
Bodegraven,bdg001,0,1692692134,OV_FIETS,Yes
Utrecht Overvecht,uto001,0,1692692134,OV_FIETS,Yes
Soestdijk,sd001,0,1692692134,OV_FIETS,Yes
Delft Zuid,dtz001,,1692692134,OV_FIETS,Yes
